adr,hbv_mono_count,hbv_mono_prop,hiv_hbv_count,hiv_hbv_prop,risk_ratio,chi2,p_value
Hepatocellular carcinoma,214,0.003086330727739479,22,5.7123272021021365e-05,54.02930571980732,1033.021005269696,1.193451971993417e-226
Injection site extravasation,9,0.0001297989558395108,1,2.5965123645918804e-06,49.989731460382465,,
Cutaneous sarcoidosis,9,0.0001297989558395108,1,2.5965123645918804e-06,49.989731460382465,,
Needle issue,36,0.0005191958233580432,4,1.0386049458367521e-05,49.989731460382465,,
Chondrocalcinosis,9,0.0001297989558395108,1,2.5965123645918804e-06,49.989731460382465,,
Red blood cell count increased,43,0.0006201505667887739,5,1.29825618229594e-05,47.76796561769881,199.408717345064,2.811020024637873e-45
Haematocrit decreased,60,0.0008653263722634054,7,1.817558655214316e-05,47.60926805750712,280.36436825876723,6.25452256487657e-63
Arterial thrombosis,17,0.00024517580547463153,2,5.193024729183761e-06,47.21252415702789,,
Glucose urine,17,0.00024517580547463153,2,5.193024729183761e-06,47.21252415702789,,
Acquired aminoaciduria,17,0.00024517580547463153,2,5.193024729183761e-06,47.21252415702789,,
Hepatitis B surface antigen,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Tongue disorder,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Hyperammonaemia,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Sinus arrhythmia,16,0.00023075369927024142,2,5.193024729183761e-06,44.43531685367331,,
Demyelination,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Moraxella infection,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Actinic keratosis,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Gastrointestinal injury,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Diffuse large B-cell lymphoma recurrent,16,0.00023075369927024142,2,5.193024729183761e-06,44.43531685367331,,
Haemoglobin abnormal,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Haemorrhage subcutaneous,8,0.00011537684963512071,1,2.5965123645918804e-06,44.43531685367331,,
Cytokine release syndrome,101,0.001456632726643399,13,3.375466073969444e-05,43.15352886750966,468.716590041401,6.096055507954596e-104
Hepatitis B reactivation,513,0.007398540482852115,68,0.00017656284079224784,41.9031572535559,2394.6861637506945,0.0
Immune-mediated hepatitis,15,0.00021633159306585134,2,5.193024729183761e-06,41.65810955031873,,
Second primary malignancy,15,0.00021633159306585134,2,5.193024729183761e-06,41.65810955031873,,
Cholangiocarcinoma,7,0.00010095474343073063,1,2.5965123645918804e-06,38.88090224696415,,
Mean platelet volume increased,7,0.00010095474343073063,1,2.5965123645918804e-06,38.88090224696415,,
Dyschezia,14,0.00020190948686146126,2,5.193024729183761e-06,38.88090224696415,,
Tachyarrhythmia,7,0.00010095474343073063,1,2.5965123645918804e-06,38.88090224696415,,
Coccydynia,21,0.00030286423029219186,3,7.789537093775641e-06,38.88090224696414,,
Hepatitis B surface antigen positive,21,0.00030286423029219186,3,7.789537093775641e-06,38.88090224696414,,
Thyroiditis,20,0.0002884421240878018,3,7.789537093775641e-06,37.029430711394426,,
Intermittent claudication,13,0.00018748738065707115,2,5.193024729183761e-06,36.10369494360956,,
Nocardiosis,13,0.00018748738065707115,2,5.193024729183761e-06,36.10369494360956,,
Plasma cell myeloma,77,0.001110502177738037,12,3.1158148375102564e-05,35.64082705971713,344.12866865171435,8.048885173534506e-77
Liver transplant rejection,19,0.0002740200178834117,3,7.789537093775641e-06,35.177959175824704,,
Oesophageal varices haemorrhage,43,0.0006201505667887739,7,1.817558655214316e-05,34.11997544121344,188.12646661058338,8.15254709176274e-43
Chronic hepatitis B,73,0.0010528137529204765,12,3.1158148375102564e-05,33.78935552414741,322.5429438240066,4.0457566710108835e-72
Short stature,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Rectal neoplasm,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Urine calcium increased,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Spleen disorder,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Parotid gland enlargement,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Rectal abscess,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Therapeutic response delayed,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Lung transplant,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Bone marrow transplant,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Tumour rupture,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Syringe issue,12,0.00017306527445268107,2,5.193024729183761e-06,33.32648764025498,,
Therapeutic reaction time decreased,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Injection site rash,24,0.00034613054890536213,4,1.0386049458367521e-05,33.32648764025498,,
Cerebral small vessel ischaemic disease,6,8.653263722634053e-05,1,2.5965123645918804e-06,33.32648764025498,,
Enthesopathy,23,0.0003317084427009721,4,1.0386049458367521e-05,31.937883988577692,,
Chronic lymphocytic leukaemia,17,0.00024517580547463153,3,7.789537093775641e-06,31.47501610468526,,
Systemic infection,11,0.00015864316824829098,2,5.193024729183761e-06,30.5492803369004,,
Blood alkaline phosphatase decreased,11,0.00015864316824829098,2,5.193024729183761e-06,30.5492803369004,,
Diffuse large B-cell lymphoma refractory,11,0.00015864316824829098,2,5.193024729183761e-06,30.5492803369004,,
Bladder transitional cell carcinoma,11,0.00015864316824829098,2,5.193024729183761e-06,30.5492803369004,,
Haemorrhoidal haemorrhage,11,0.00015864316824829098,2,5.193024729183761e-06,30.5492803369004,,
Hepatitis B virus test positive,16,0.00023075369927024142,3,7.789537093775641e-06,29.623544569115538,,
Klebsiella sepsis,16,0.00023075369927024142,3,7.789537093775641e-06,29.623544569115538,,
Angiocentric lymphoma,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Plasma cell myeloma recurrent,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Myopericarditis,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Duodenal perforation,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Systemic candida,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Red blood cell count abnormal,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Urine output increased,10,0.0001442210620439009,2,5.193024729183761e-06,27.77207303354582,,
Mean cell haemoglobin decreased,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Suspected drug-induced liver injury,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Vitamin B12 increased,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Enterocolitis bacterial,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Heart transplant,10,0.0001442210620439009,2,5.193024729183761e-06,27.77207303354582,,
Thyroid function test abnormal,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Serum sickness,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Human polyomavirus infection,5,7.211053102195045e-05,1,2.5965123645918804e-06,27.77207303354582,,
Blood magnesium decreased,15,0.00021633159306585134,3,7.789537093775641e-06,27.772073033545816,,
Drug tolerance,15,0.00021633159306585134,3,7.789537093775641e-06,27.772073033545816,,
Hypoproteinaemia,29,0.00041824107992731257,6,1.5579074187551282e-05,26.846337265760955,118.54283864161916,1.3187506138863701e-27
Lymphocyte count decreased,75,0.0010816579653292566,16,4.1544197833470086e-05,26.0363184689492,312.3582009464192,6.691333315100853e-70
Hyperpyrexia,14,0.00020190948686146126,3,7.789537093775641e-06,25.920601497976097,,
Hepatic cancer,107,0.0015431653638697394,23,5.971978438561325e-05,25.84010273556002,447.00082109112117,3.2420872523560116e-99
Hepatic encephalopathy,111,0.0016008537886872999,24,6.231629675020513e-05,25.68916755602988,463.2069148902138,9.638654463313115e-103
Acute generalised exanthematous pustulosis,23,0.0003317084427009721,5,1.29825618229594e-05,25.550307190862156,91.7866733235271,9.654243609177667e-22
Blood phosphorus decreased,68,0.0009807032218985261,15,3.8947685468878204e-05,25.18001288374821,280.26872092552037,6.562016105734712e-63
Portal vein dilatation,9,0.0001297989558395108,2,5.193024729183761e-06,24.994865730191233,,
Alanine aminotransferase decreased,9,0.0001297989558395108,2,5.193024729183761e-06,24.994865730191233,,
Mucosal erosion,9,0.0001297989558395108,2,5.193024729183761e-06,24.994865730191233,,
Abdominal infection,13,0.00018748738065707115,3,7.789537093775641e-06,24.06912996240637,,
Heart valve incompetence,13,0.00018748738065707115,3,7.789537093775641e-06,24.06912996240637,,
Neutrophil count decreased,208,0.0029997980905131384,49,0.00012722910586500212,23.577923228479715,852.8203950827624,1.7717714217821596e-187
Total bile acids increased,8,0.00011537684963512071,2,5.193024729183761e-06,22.217658426836653,,
Ovarian cancer,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Febrile bone marrow aplasia,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Postmenopausal haemorrhage,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
On and off phenomenon,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Change of bowel habit,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Injection site irritation,12,0.00017306527445268107,3,7.789537093775641e-06,22.217658426836653,,
Hypersensitivity pneumonitis,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Gastric ulcer haemorrhage,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Trichorrhexis,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Fasciitis,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Mallory-Weiss syndrome,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Vitreous detachment,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Pancreas transplant rejection,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Tongue dry,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Sjogren's syndrome,12,0.00017306527445268107,3,7.789537093775641e-06,22.217658426836653,,
Haemangioma of bone,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Blood iron abnormal,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Vaginal ulceration,8,0.00011537684963512071,2,5.193024729183761e-06,22.217658426836653,,
Ear disorder,8,0.00011537684963512071,2,5.193024729183761e-06,22.217658426836653,,
Epstein-Barr virus associated lymphoma,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Adenocarcinoma,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Urine protein/creatinine ratio increased,12,0.00017306527445268107,3,7.789537093775641e-06,22.217658426836653,,
Renal tubular atrophy,16,0.00023075369927024142,4,1.0386049458367521e-05,22.217658426836653,,
Pulmonary pain,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Metapneumovirus infection,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Ischaemic cerebral infarction,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Labyrinthitis,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
COVID-19 immunisation,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Neonatal pneumothorax,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Cerebral venous sinus thrombosis,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Neuromyelitis optica spectrum disorder,4,5.7688424817560355e-05,1,2.5965123645918804e-06,22.217658426836653,,
Post procedural haemorrhage,16,0.00023075369927024142,4,1.0386049458367521e-05,22.217658426836653,,
Blood albumin decreased,39,0.0005624621419712134,10,2.59651236459188e-05,21.66221696616574,151.94250716691312,6.52216063624019e-35
Neutrophil count increased,23,0.0003317084427009721,6,1.5579074187551282e-05,21.291922659051796,87.14449028681213,1.0087564600330127e-20
Campylobacter gastroenteritis,11,0.00015864316824829098,3,7.789537093775641e-06,20.36618689126693,,
Blood glucose fluctuation,11,0.00015864316824829098,3,7.789537093775641e-06,20.36618689126693,,
Atrioventricular block complete,18,0.0002595979116790216,5,1.29825618229594e-05,19.99589258415299,65.82879200200469,4.918444719571687e-16
Subarachnoid haemorrhage,18,0.0002595979116790216,5,1.29825618229594e-05,19.99589258415299,65.82879200200469,4.918444719571687e-16
Hypophosphataemic osteomalacia,115,0.0016585422135048603,32,8.308839566694017e-05,19.961177492861058,446.18124517402833,4.888662858034768e-99
Platelet count decreased,395,0.005696731950734085,110,0.0002856163601051068,19.94539790591018,1545.1798120902452,0.0
Malignant neoplasm progression,129,0.0018604517003663215,36,9.347444512530769e-05,19.903319007374503,500.6377425741596,6.905745336143723e-111
Iron deficiency,7,0.00010095474343073063,2,5.193024729183761e-06,19.440451123482074,,
Post inflammatory pigmentation change,7,0.00010095474343073063,2,5.193024729183761e-06,19.440451123482074,,
Blood bicarbonate decreased,7,0.00010095474343073063,2,5.193024729183761e-06,19.440451123482074,,
Mean cell volume increased,7,0.00010095474343073063,2,5.193024729183761e-06,19.440451123482074,,
Acidosis hyperchloraemic,7,0.00010095474343073063,2,5.193024729183761e-06,19.440451123482074,,
Pericarditis,45,0.000648994779197554,13,3.375466073969444e-05,19.226819792454798,169.51199993453986,9.456957675840983e-39
Leukaemia,17,0.00024517580547463153,5,1.29825618229594e-05,18.88500966281116,60.73637172619085,6.525330007784928e-15
Full blood count decreased,27,0.0003893968675185324,8,2.0772098916735043e-05,18.746149297643427,98.95320148889564,2.5853972545938864e-23
Pneumonia influenzal,10,0.0001442210620439009,3,7.789537093775641e-06,18.514715355697213,,
Splenic infarction,10,0.0001442210620439009,3,7.789537093775641e-06,18.514715355697213,,
Bilirubin conjugated increased,20,0.0002884421240878018,6,1.5579074187551282e-05,18.514715355697213,71.77998020296367,2.4058076771208573e-17
Red cell distribution width increased,13,0.00018748738065707115,4,1.0386049458367521e-05,18.05184747180478,,
Blood chloride increased,13,0.00018748738065707115,4,1.0386049458367521e-05,18.05184747180478,,
White blood cell count decreased,287,0.004139144480659955,90,0.0002336861128132692,17.712411023617,1076.5877549628108,4.049974087312868e-236
Klebsiella infection,19,0.0002740200178834117,6,1.5579074187551282e-05,17.588979587912352,66.72786909460322,3.1169715674200095e-16
Upper gastrointestinal haemorrhage,46,0.0006634168854019442,15,3.8947685468878204e-05,17.033538127241435,166.11706255568626,5.215488206777623e-38
Red blood cell count decreased,49,0.0007066832040151143,16,4.1544197833470086e-05,17.010394733046812,177.1620587635687,2.0187600886071547e-40
Colon cancer metastatic,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Clostridium colitis,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Therapeutic product cross-reactivity,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Urinary occult blood positive,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Malacoplakia,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Vascular occlusion,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Rheumatic fever,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Extradural haematoma,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Pharyngeal cancer,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Oesophageal obstruction,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Hepatitis B e antibody positive,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Swollen joint count increased,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Cytomegalovirus infection reactivation,42,0.0006057284605843837,14,3.635117310428632e-05,16.66324382012749,150.02640293333891,1.710758404863283e-34
Device leakage,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Aminoaciduria,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Diverticular perforation,12,0.00017306527445268107,4,1.0386049458367521e-05,16.66324382012749,,
Pneumonia legionella,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Febrile infection,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Prostate infection,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Asterixis,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Cervix disorder,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Gestational hypertension,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Bacterial test positive,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Porphyria non-acute,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Mixed connective tissue disease,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Morganella infection,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Oesophageal spasm,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Apnoea,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Paraesthesia ear,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Hepatitis B core antibody positive,15,0.00021633159306585134,5,1.29825618229594e-05,16.66324382012749,50.690320221106695,1.0815164256277018e-12
Oesophagogastroduodenoscopy abnormal,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Graft versus host disease in liver,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Dermatitis exfoliative,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Arteriospasm coronary,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Glomerulonephritis membranoproliferative,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Pharyngeal paraesthesia,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Bladder transitional cell carcinoma recurrent,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Rhegmatogenous retinal detachment,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Hirsutism,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Vena cava thrombosis,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Effusion,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Distributive shock,15,0.00021633159306585134,5,1.29825618229594e-05,16.66324382012749,50.690320221106695,1.0815164256277018e-12
Skin fragility,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Citrobacter infection,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Lip injury,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Liquid product physical issue,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Hepatitis C virus test positive,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Hand deformity,33,0.00047592950474487295,11,2.8561636010510682e-05,16.66324382012749,116.90132515869897,3.0171114763432857e-27
Hepatic cancer metastatic,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Procalcitonin increased,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Device use issue,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Polymyositis,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Rectal perforation,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Thrombotic stroke,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Hepatectomy,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Ocular toxicity,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Gastric haemorrhage,12,0.00017306527445268107,4,1.0386049458367521e-05,16.66324382012749,,
Nasal dryness,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Pruritus allergic,6,8.653263722634053e-05,2,5.193024729183761e-06,16.66324382012749,,
Visual acuity reduced transiently,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Gastrointestinal lymphoma,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Cerebral artery thrombosis,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Abdominal abscess,3,4.3266318613170266e-05,1,2.5965123645918804e-06,16.66324382012749,,
Noninfective gingivitis,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Alpha 1 foetoprotein increased,18,0.0002595979116790216,6,1.5579074187551282e-05,16.663243820127487,61.717677378997706,3.9640550964276545e-15
Steatohepatitis,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Soft tissue infection,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Protein total decreased,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Granulocytopenia,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Disseminated cryptococcosis,9,0.0001297989558395108,3,7.789537093775641e-06,16.663243820127487,,
Limb operation,29,0.00041824107992731257,10,2.59651236459188e-05,16.107802359456574,100.85281719094588,9.907878952113066e-24
Hepatitis B,528,0.007614872075917967,183,0.0004751617627203141,16.025851980013325,1913.0073509198573,0.0
Enterocolitis,23,0.0003317084427009721,8,2.0772098916735043e-05,15.968941994288846,78.79344125140341,6.895562012522663e-19
Blood pressure systolic increased,31,0.0004470852923360928,11,2.8561636010510682e-05,15.653350255271281,106.89807134902324,4.686645149233911e-25
Injection site discolouration,14,0.00020190948686146126,5,1.29825618229594e-05,15.55236089878566,45.75129064495604,1.3426086316832869e-11
Therapy partial responder,36,0.0005191958233580432,13,3.375466073969444e-05,15.381455833963837,123.97791288850853,8.518657499641491e-29
Hepatitis B DNA increased,180,0.002595979116790216,65,0.0001687733036984722,15.381455833963837,637.9869151459671,9.157094778057203e-141
Immunosuppressant drug level decreased,11,0.00015864316824829098,4,1.0386049458367521e-05,15.2746401684502,,
Pneumonia staphylococcal,11,0.00015864316824829098,4,1.0386049458367521e-05,15.2746401684502,,
Liver transplant,63,0.0009085926908765756,23,5.971978438561325e-05,15.214266096638143,219.33054465357327,1.2659304951320447e-49
Electrolyte imbalance,27,0.0003893968675185324,10,2.59651236459188e-05,14.996919438114743,90.92461151873357,1.4925163529053195e-21
Lower gastrointestinal haemorrhage,8,0.00011537684963512071,3,7.789537093775641e-06,14.811772284557769,,
Anal pruritus,8,0.00011537684963512071,3,7.789537093775641e-06,14.811772284557769,,
Jaundice neonatal,8,0.00011537684963512071,3,7.789537093775641e-06,14.811772284557769,,
Cholecystitis,29,0.00041824107992731257,11,2.8561636010510682e-05,14.643456690415068,97.00561676545526,6.913094410277155e-23
White blood cell count increased,65,0.0009374369032853558,25,6.4912809114797e-05,14.441477977443826,221.5474560140308,4.157662477100274e-50
Gastrointestinal perforation,13,0.00018748738065707115,5,1.29825618229594e-05,14.441477977443826,40.88069696504294,1.6181151870804995e-10
Vaccination failure,13,0.00018748738065707115,5,1.29825618229594e-05,14.441477977443826,40.88069696504294,1.6181151870804995e-10
COVID-19 pneumonia,65,0.0009374369032853558,26,6.750932147938888e-05,13.886036516772911,217.7983833634829,2.732895780217253e-49
Hepatitis B antibody positive,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Body temperature decreased,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Fistula discharge,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Biliary obstruction,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Pneumonia viral,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Congenital knee dislocation,5,7.211053102195045e-05,2,5.193024729183761e-06,13.88603651677291,,
Mesenteric vein thrombosis,10,0.0001442210620439009,4,1.0386049458367521e-05,13.88603651677291,,
Vulvovaginal pruritus,10,0.0001442210620439009,4,1.0386049458367521e-05,13.88603651677291,,
