drug,adr,cohort,n_cases,ror,ror_lower_ci,ror_upper_ci,prr,prr_lower_ci,prr_upper_ci,ic,ic_025,ic_975,is_signal,avg_severity
ADEFOVIR,Calcinosis,HBV_MONO,3,43.387123745819395,7.236078203528235,260.1467886316079,43.17554076539101,7.227523100041185,257.92063125655295,4.159485192161589,3.0278786645499225,5.291091719773256,True,1.0
ADEFOVIR,Jaundice neonatal,HBV_MONO,3,43.387123745819395,7.236078203528235,260.1467886316079,43.17554076539101,7.227523100041185,257.92063125655295,4.159485192161589,3.0278786645499225,5.291091719773256,True,1.0
ADEFOVIR,Renal atrophy,HBV_MONO,3,43.387123745819395,7.236078203528235,260.1467886316079,43.17554076539101,7.227523100041185,257.92063125655295,4.159485192161589,3.0278786645499225,5.291091719773256,True,3.0
ADEFOVIR,Albumin urine present,HBV_MONO,3,43.387123745819395,7.236078203528235,260.1467886316079,43.17554076539101,7.227523100041185,257.92063125655295,4.159485192161589,3.0278786645499225,5.291091719773256,True,1.0
ADEFOVIR,Necrotising fasciitis,HBV_MONO,3,43.387123745819395,7.236078203528235,260.1467886316079,43.17554076539101,7.227523100041185,257.92063125655295,4.159485192161589,3.0278786645499225,5.291091719773256,True,3.6666666666666665
TENOFOVIR,Limb operation,HBV_MONO,28,42.16096466629276,5.734939211328449,309.95044168578625,42.00000000000001,5.71560883075675,308.628538487027,1.2713020218173943,0.9008968382683515,1.641707205366437,True,2.9285714285714284
LAMIVUDINE,Hypopnoea,HBV_MONO,7,41.638446601941745,5.120642866349666,338.58253361431827,41.528272656855144,5.111338211412868,337.4062444178178,2.6007536037893946,1.8599432366913091,3.34156397088748,True,1.0
LAMIVUDINE,Middle ear inflammation,HBV_MONO,7,41.638446601941745,5.120642866349666,338.58253361431827,41.528272656855144,5.111338211412868,337.4062444178178,2.6007536037893946,1.8599432366913091,3.34156397088748,True,3.0
INTERFERON,Red blood cell count increased,HBV_MONO,39,40.405567057740974,12.480241972568342,130.8155605352917,40.05517555859553,12.38428547581344,129.55265704778375,1.9220666664488757,1.608215484990905,2.2359178479068467,True,1.358974358974359
ADEFOVIR,Oesophageal haemorrhage,HBV_MONO,4,38.6286990508096,8.626155741861828,172.98277877324227,38.378258458125345,8.60830270974181,171.1011766131126,4.089095864270192,3.109095864270192,5.069095864270192,True,5.0
ADEFOVIR,Thyroid cancer,HBV_MONO,9,37.55501930501931,13.93868968290751,101.18450923904767,37.00760637033516,13.828477763050177,99.03931240509756,4.066375787770108,3.4130424544367743,4.719709121103441,True,2.3333333333333335
TELBIVUDINE,Viral load increased,HBV_MONO,6,37.289308176100626,15.382166409154843,90.39640238351866,33.660377358490564,15.04463805910358,75.31061893711612,4.9231008227897775,4.122934173480606,5.723267472098949,True,1.0
INTERFERON,Myelofibrosis,HBV_MONO,24,37.17193947730399,8.78134396458146,157.35098067875418,36.97400820793434,8.741627839328535,156.38703775627732,1.9135046529454516,1.5134213282908657,2.3135879776000374,True,1.5416666666666667
ADEFOVIR,Hypophosphataemic osteomalacia,HBV_MONO,51,36.36384297520661,24.081793717713616,54.90990793401035,33.36291786416578,22.476059925904494,49.52310556567798,3.9990205199683433,3.7245656234988536,4.273475416437833,True,2.215686274509804
INTERFERON,Injection site erythema,HBV_MONO,81,36.30552513688402,16.760934281956022,78.64067320423226,35.65350791479382,16.484848262091,77.11157581920176,1.9094002546127151,1.6916224768349373,2.1271780323904927,True,1.0987654320987654
ADEFOVIR,Blood phosphorus decreased,HBV_MONO,17,35.93994618395303,17.63147958701885,73.25986031577503,34.95162823864987,17.309972408862823,70.57297884006509,4.02971731719126,3.554347492120047,4.5050871422624725,True,1.3529411764705883
LAMIVUDINE,Cryptorchism,HBV_MONO,12,35.75719844357977,7.998019471338672,159.86173140930617,35.59566227730441,7.971158852886814,158.9544502053225,2.5710062603953423,2.0052029965895093,3.1368095242011753,True,3.0
LAMIVUDINE,Acute on chronic liver failure,HBV_MONO,6,35.67624223602485,4.2931967255404055,296.467723575679,35.59566227730441,4.287022729467456,295.55503969005304,2.5710062603953423,1.7708396110861708,3.371172909704514,True,5.0
LAMIVUDINE,Vertical infection transmission,HBV_MONO,6,35.67624223602485,4.2931967255404055,296.467723575679,35.59566227730441,4.287022729467456,295.55503969005304,2.5710062603953423,1.7708396110861708,3.371172909704514,True,1.0
LAMIVUDINE,Blood phosphorus increased,HBV_MONO,6,35.67624223602485,4.2931967255404055,296.467723575679,35.59566227730441,4.287022729467456,295.55503969005304,2.5710062603953423,1.7708396110861708,3.371172909704514,True,1.5
LAMIVUDINE,Vein disorder,HBV_MONO,6,35.67624223602485,4.2931967255404055,296.467723575679,35.59566227730441,4.287022729467456,295.55503969005304,2.5710062603953423,1.7708396110861708,3.371172909704514,True,1.0
LAMIVUDINE,Bowel movement irregularity,HBV_MONO,23,34.41012114107073,11.890298235820582,99.58172734272449,34.112509682416736,11.806851241941873,98.55831101684893,2.562073135625335,2.153384884073468,2.9707613871772014,True,3.9
INTERFERON,Injection site rash,HBV_MONO,22,34.058661778185154,8.005479468789764,144.8998085177993,33.89284085727314,7.972902903454072,144.0785966274323,1.9034509882815285,1.485577584224532,2.321324392338525,True,1.2727272727272727
INTERFERON,Blood iron decreased,HBV_MONO,22,34.058661778185154,8.005479468789764,144.8998085177993,33.89284085727314,7.972902903454072,144.0785966274323,1.9034509882815285,1.485577584224532,2.321324392338525,True,1.0909090909090908
INTERFERON,Sjogren's syndrome,HBV_MONO,11,33.975542857142855,4.385062262793315,263.24312934663556,33.89284085727314,4.376870404261519,262.4534325389193,1.9034509882815285,1.3124887529091118,2.494413223653945,True,1.6363636363636365
INTERFERON,Wrong dose,HBV_MONO,11,33.975542857142855,4.385062262793315,263.24312934663556,33.89284085727314,4.376870404261519,262.4534325389193,1.9034509882815285,1.3124887529091118,2.494413223653945,True,1.1818181818181819
INTERFERON,Syringe issue,HBV_MONO,11,33.975542857142855,4.385062262793315,263.24312934663556,33.89284085727314,4.376870404261519,262.4534325389193,1.9034509882815285,1.3124887529091118,2.494413223653945,True,1.5454545454545454
TELBIVUDINE,Viral mutation identified,HBV_MONO,12,32.78703703703704,17.03337247477168,63.11080200120191,26.42962962962963,15.506249812168727,45.04798586510709,4.606071527315255,4.040268263509422,5.171874791121088,True,1.0
LAMIVUDINE,Red blood cells urine positive,HBV_MONO,11,32.76468300272268,7.258028393722387,147.90854954458675,32.629357087529044,7.236412065179414,147.1274623882388,2.5523905822279955,1.9614283468555789,3.1433528176004124,True,4.0
LAMIVUDINE,Heart valve incompetence,HBV_MONO,11,32.76468300272268,7.258028393722387,147.90854954458675,32.629357087529044,7.236412065179414,147.1274623882388,2.5523905822279955,1.9614283468555789,3.1433528176004124,True,5.0
INTERFERON,Incorrect route of product administration,HBV_MONO,21,32.50309278350515,7.617960460145504,138.67898711474362,32.35225718194255,7.588686771021192,137.92485792976083,1.8977373370871349,1.47003027222459,2.32544440194968,True,1.0952380952380953
INTERFERON,Behaviour disorder,HBV_MONO,10,30.87979890310786,3.951732994176879,241.30222909835095,30.81167350661195,3.9452427566600017,240.63391857837652,1.8914783466154528,1.2716719252224504,2.511284768008455,True,3.0
LAMIVUDINE,Varicella zoster virus infection,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,2.6
LAMIVUDINE,Acquired aminoaciduria,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,1.0
LAMIVUDINE,Glucose urine,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,1.0
LAMIVUDINE,Therapeutic reaction time decreased,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,3.0
LAMIVUDINE,Normocytic anaemia,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,1.0
LAMIVUDINE,Haemofiltration,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,4.2
LAMIVUDINE,Benign hepatic neoplasm,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,3.0
LAMIVUDINE,Neuroendocrine tumour of the lung metastatic,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,4.8
LAMIVUDINE,Dermatitis exfoliative,HBV_MONO,5,29.718665114474195,3.4704954219280917,254.48788971333357,29.66305189775368,3.4668095183773984,253.80588210126226,2.5303642758979965,1.653825628718079,3.406902923077914,True,2.6
TENOFOVIR,Contraindicated product administered,HBV_MONO,77,29.178031907383875,10.674269343022356,79.75792240476245,28.875000000000004,10.572843856868822,78.85916374886507,1.248864632697639,1.0255019028367485,1.4722273625585294,True,1.8831168831168832
ADEFOVIR,Femoral neck fracture,HBV_MONO,7,29.11111111111111,10.178403063069334,83.26028993667137,28.783693843594012,10.128024946181034,81.80282292789514,3.8964507863277955,3.15564041922971,4.6372611534258805,True,1.8571428571428572
ADEFOVIR,Lacunar infarction,HBV_MONO,4,28.969849246231156,7.227742666725183,116.11539093845695,28.783693843594012,7.215763171133333,114.81821279780503,3.8964507863277955,2.9164507863277955,4.876450786327796,True,3.0
ADEFOVIR,Urine abnormality,HBV_MONO,4,28.969849246231156,7.227742666725183,116.11539093845695,28.783693843594012,7.215763171133333,114.81821279780503,3.8964507863277955,2.9164507863277955,4.876450786327796,True,2.0
ADEFOVIR,Acidosis,HBV_MONO,4,28.969849246231156,7.227742666725183,116.11539093845695,28.783693843594012,7.215763171133333,114.81821279780503,3.8964507863277955,2.9164507863277955,4.876450786327796,True,1.5
ADEFOVIR,Alpha 1 foetoprotein increased,HBV_MONO,4,28.969849246231156,7.227742666725183,116.11539093845695,28.783693843594012,7.215763171133333,114.81821279780503,3.8964507863277955,2.9164507863277955,4.876450786327796,True,2.5
TENOFOVIR,Multiple fractures,HBV_MONO,184,28.301605504587155,14.965968450782052,53.520149850070176,27.6,14.615645083199105,52.11949220603711,1.2455772087572476,1.1010840917254485,1.3900703257890468,True,1.173913043478261
INTERFERON,Skin ulcer,HBV_MONO,27,27.896077081899517,8.45856513292269,92.00036936884008,27.730506155950753,8.41656259644334,91.36520555198834,1.8769787769203377,1.4997766010497822,2.254180952790893,True,1.1481481481481481
LAMIVUDINE,Atrioventricular block complete,HBV_MONO,14,27.830996884735203,7.992315505072591,96.9136399966364,27.6855151045701,7.961656111522074,96.27240059968452,2.5132907625390555,1.9894587283907037,3.0371227966874073,True,4.714285714285714
INTERFERON,Heart transplant,HBV_MONO,9,27.7854694996573,3.5191187726555606,219.38228437052808,27.730506155950753,3.514131796022689,218.8253077290838,1.8769787769203377,1.2236454435870043,2.530312110253671,True,3.6666666666666665
INTERFERON,Fixed eruption,HBV_MONO,9,27.7854694996573,3.5191187726555606,219.38228437052808,27.730506155950753,3.514131796022689,218.8253077290838,1.8769787769203377,1.2236454435870043,2.530312110253671,True,2.111111111111111
INTERFERON,Device malfunction,HBV_MONO,26,26.856727828746177,8.124784319873894,88.7757509947716,26.703450372397022,8.086278086699025,88.18324748984251,1.8714405933789078,1.4870529685080671,2.2558282182497487,True,1.0
ENTECAVIR,Klebsiella sepsis,HBV_MONO,9,25.272030651340994,3.200824776047731,199.5346755691304,25.22562141491396,3.196660911508033,199.06145612059137,1.7750767359046773,1.121743402571344,2.4284100692380104,True,3.888888888888889
LAMIVUDINE,Drug resistance,HBV_MONO,225,25.115942241013563,18.758176782860378,33.62856432989321,23.014436817222684,17.296734554767184,30.622213709578666,2.462521630116945,2.3318549634502785,2.5931882967836115,True,1.1955555555555555
ADEFOVIR,Drug resistance,HBV_MONO,117,24.949728666733048,19.367736035095582,32.140512417951726,20.287302287352407,16.24554905904211,25.33460904292034,3.622157263079318,3.4409551989790765,3.8033593271795594,True,1.3247863247863247
INTERFERON,Needle issue,HBV_MONO,32,24.823151125401928,8.773788680159386,70.23064428118288,24.64933880528956,8.722111190249013,69.66087570830516,1.859056868923075,1.5125745461416669,2.2055391917044833,True,1.0625
INTERFERON,Injection site swelling,HBV_MONO,16,24.73592677345538,5.685170129397586,107.62493635464544,24.64933880528956,5.66974836827438,107.16346900645208,1.859056868923075,1.369056868923075,2.349056868923075,True,1.375
INTERFERON,Accidental underdose,HBV_MONO,8,24.6925536774783,3.087397151373419,197.48745536152165,24.64933880528956,3.0837154609901916,197.03176613540546,1.859056868923075,1.1660922233602586,2.5520215144858915,True,1.0
INTERFERON,Pulmonary arterial hypertension,HBV_MONO,8,24.6925536774783,3.087397151373419,197.48745536152165,24.64933880528956,3.0837154609901916,197.03176613540546,1.859056868923075,1.1660922233602586,2.5520215144858915,True,2.5
INTERFERON,White blood cell count abnormal,HBV_MONO,8,24.6925536774783,3.087397151373419,197.48745536152165,24.64933880528956,3.0837154609901916,197.03176613540546,1.859056868923075,1.1660922233602586,2.5520215144858915,True,2.0
INTERFERON,Papilloma viral infection,HBV_MONO,8,24.6925536774783,3.087397151373419,197.48745536152165,24.64933880528956,3.0837154609901916,197.03176613540546,1.859056868923075,1.1660922233602586,2.5520215144858915,True,1.0
INTERFERON,Product availability issue,HBV_MONO,39,24.23975155279503,9.548019407740826,61.53795151116623,24.033105335157316,9.478465697335059,60.93709367046195,1.8549524705903389,1.541101289132368,2.1688036520483096,True,1.1794871794871795
TENOFOVIR,Hepatitis D,HBV_MONO,32,24.10325476992144,5.774489539163343,100.60922035853505,24.0,5.753357671991467,100.11545133098308,1.234465253637023,0.8879829308556149,1.5809475764184313,True,1.125
INTERFERON,Injection site bruising,HBV_MONO,31,24.04190585533869,8.481864783400683,68.14695257676846,23.87904696762426,8.433825618182535,67.60975503841206,1.8538951638072965,1.5018687718348176,2.205921555779775,True,1.2580645161290323
LAMIVUDINE,Microalbuminuria,HBV_MONO,8,23.8010878010878,5.051336229913568,112.14691612891973,23.730441518202944,5.042004632090749,111.68848419231558,2.471470586844428,1.7785059412816118,3.1644352324072447,True,2.25
LAMIVUDINE,Umbilical hernia,HBV_MONO,8,23.8010878010878,5.051336229913568,112.14691612891973,23.730441518202944,5.042004632090749,111.68848419231558,2.471470586844428,1.7785059412816118,3.1644352324072447,True,3.0
LAMIVUDINE,Blood immunoglobulin G increased,HBV_MONO,4,23.765709852598913,2.6551468491461536,212.72230761155416,23.730441518202944,2.6533123355853285,212.23805697365106,2.471470586844428,1.4914705868444282,3.451470586844428,True,1.0
LAMIVUDINE,Skin oedema,HBV_MONO,4,23.765709852598913,2.6551468491461536,212.72230761155416,23.730441518202944,2.6533123355853285,212.23805697365106,2.471470586844428,1.4914705868444282,3.451470586844428,True,1.0
LAMIVUDINE,Vascular encephalopathy,HBV_MONO,4,23.765709852598913,2.6551468491461536,212.72230761155416,23.730441518202944,2.6533123355853285,212.23805697365106,2.471470586844428,1.4914705868444282,3.451470586844428,True,5.0
LAMIVUDINE,Neonatal respiratory failure,HBV_MONO,4,23.765709852598913,2.6551468491461536,212.72230761155416,23.730441518202944,2.6533123355853285,212.23805697365106,2.471470586844428,1.4914705868444282,3.451470586844428,True,5.0
LAMIVUDINE,Infantile apnoea,HBV_MONO,4,23.765709852598913,2.6551468491461536,212.72230761155416,23.730441518202944,2.6533123355853285,212.23805697365106,2.471470586844428,1.4914705868444282,3.451470586844428,True,5.0
